Identificador,Agente,Ronda,Estado,Puntaje,Politica,Parametro-0,Parametro-1,Politica_lag,Consistencia
23,0,0,1,-1,7,5,1,,0
23,0,1,1,-1,7,5,1,7.0,1
23,0,2,1,-1,7,5,1,7.0,1
23,0,3,1,-1,7,5,1,7.0,1
23,0,4,1,-1,7,5,1,7.0,1
23,0,5,1,-1,7,5,1,7.0,1
23,0,6,1,-1,7,5,1,7.0,1
23,0,7,1,-1,7,5,1,7.0,1
23,0,8,1,-1,7,5,1,7.0,1
23,0,9,1,-1,7,5,1,7.0,1
23,1,0,1,-1,7,5,1,,0
23,1,1,1,-1,7,5,1,7.0,1
23,1,2,1,-1,7,5,1,7.0,1
23,1,3,1,-1,7,5,1,7.0,1
23,1,4,1,-1,7,5,1,7.0,1
23,1,5,1,-1,7,5,1,7.0,1
23,1,6,1,-1,7,5,1,7.0,1
23,1,7,1,-1,7,5,1,7.0,1
23,1,8,1,-1,7,5,1,7.0,1
23,1,9,1,-1,7,5,1,7.0,1
23,2,0,1,-1,7,5,1,,0
23,2,1,1,-1,7,5,1,7.0,1
23,2,2,1,-1,7,5,1,7.0,1
23,2,3,1,-1,7,5,1,7.0,1
23,2,4,1,-1,7,5,1,7.0,1
23,2,5,1,-1,7,5,1,7.0,1
23,2,6,1,-1,7,5,1,7.0,1
23,2,7,1,-1,7,5,1,7.0,1
23,2,8,1,-1,7,5,1,7.0,1
23,2,9,1,-1,7,5,1,7.0,1
23,3,0,1,-1,7,5,1,,0
23,3,1,1,-1,7,5,1,7.0,1
23,3,2,1,-1,7,5,1,7.0,1
23,3,3,1,-1,7,5,1,7.0,1
23,3,4,1,-1,7,5,1,7.0,1
23,3,5,1,-1,7,5,1,7.0,1
23,3,6,1,-1,7,5,1,7.0,1
23,3,7,1,-1,7,5,1,7.0,1
23,3,8,1,-1,7,5,1,7.0,1
23,3,9,1,-1,7,5,1,7.0,1
23,4,0,1,-1,7,5,1,,0
23,4,1,1,-1,7,5,1,7.0,1
23,4,2,1,-1,7,5,1,7.0,1
23,4,3,1,-1,7,5,1,7.0,1
23,4,4,1,-1,7,5,1,7.0,1
23,4,5,1,-1,7,5,1,7.0,1
23,4,6,1,-1,7,5,1,7.0,1
23,4,7,1,-1,7,5,1,7.0,1
23,4,8,1,-1,7,5,1,7.0,1
23,4,9,1,-1,7,5,1,7.0,1
