Identificador,Agente,Ronda,Estado,Puntaje,Politica,Parametro-0,Parametro-1,Politica_lag,Consistencia
21,0,0,0,0,4,2,1,,0
21,0,1,1,1,4,2,1,4.0,1
21,0,2,0,0,4,2,1,4.0,1
21,0,3,1,1,4,2,1,4.0,1
21,0,4,0,0,4,2,1,4.0,1
21,0,5,1,1,4,2,1,4.0,1
21,0,6,0,0,4,2,1,4.0,1
21,0,7,1,1,4,2,1,4.0,1
21,0,8,0,0,4,2,1,4.0,1
21,0,9,1,1,4,2,1,4.0,1
21,1,0,1,1,4,2,1,,0
21,1,1,0,0,4,2,1,4.0,1
21,1,2,1,1,4,2,1,4.0,1
21,1,3,0,0,4,2,1,4.0,1
21,1,4,1,1,4,2,1,4.0,1
21,1,5,0,0,4,2,1,4.0,1
21,1,6,1,1,4,2,1,4.0,1
21,1,7,0,0,4,2,1,4.0,1
21,1,8,1,1,4,2,1,4.0,1
21,1,9,0,0,4,2,1,4.0,1
