Identificador,Agente,Ronda,Estado,Puntaje,Politica,Parametro-0,Parametro-1,Politica_lag,Consistencia
20,0,0,1,1,3,2,1,,0
20,0,1,1,-1,3,2,1,3.0,1
20,0,2,1,-1,3,2,1,3.0,1
20,0,3,1,-1,3,2,1,3.0,1
20,0,4,1,-1,3,2,1,3.0,1
20,0,5,1,-1,3,2,1,3.0,1
20,0,6,1,-1,3,2,1,3.0,1
20,0,7,1,-1,3,2,1,3.0,1
20,0,8,1,-1,3,2,1,3.0,1
20,0,9,1,-1,3,2,1,3.0,1
20,1,0,0,0,5,2,1,,0
20,1,1,1,-1,5,2,1,5.0,1
20,1,2,1,-1,5,2,1,5.0,1
20,1,3,1,-1,5,2,1,5.0,1
20,1,4,1,-1,5,2,1,5.0,1
20,1,5,1,-1,5,2,1,5.0,1
20,1,6,1,-1,5,2,1,5.0,1
20,1,7,1,-1,5,2,1,5.0,1
20,1,8,1,-1,5,2,1,5.0,1
20,1,9,1,-1,5,2,1,5.0,1
