Identificador,Agente,Ronda,Estado,Puntaje,Politica,Parametro-0,Parametro-1,Politica_lag,Consistencia
25,0,0,1,1,4,100,1,,0
25,0,1,0,0,4,100,1,4.0,1
25,0,2,1,1,4,100,1,4.0,1
25,0,3,0,0,4,100,1,4.0,1
25,0,4,1,1,4,100,1,4.0,1
25,0,5,0,0,4,100,1,4.0,1
25,0,6,1,1,4,100,1,4.0,1
25,0,7,0,0,4,100,1,4.0,1
25,0,8,1,1,4,100,1,4.0,1
25,0,9,0,0,4,100,1,4.0,1
25,1,0,1,1,4,100,1,,0
25,1,1,0,0,4,100,1,4.0,1
25,1,2,1,1,4,100,1,4.0,1
25,1,3,0,0,4,100,1,4.0,1
25,1,4,1,1,4,100,1,4.0,1
25,1,5,0,0,4,100,1,4.0,1
25,1,6,1,1,4,100,1,4.0,1
25,1,7,0,0,4,100,1,4.0,1
25,1,8,1,1,4,100,1,4.0,1
25,1,9,0,0,4,100,1,4.0,1
25,2,0,1,1,4,100,1,,0
25,2,1,0,0,4,100,1,4.0,1
25,2,2,1,1,4,100,1,4.0,1
25,2,3,0,0,4,100,1,4.0,1
25,2,4,1,1,4,100,1,4.0,1
25,2,5,0,0,4,100,1,4.0,1
25,2,6,1,1,4,100,1,4.0,1
25,2,7,0,0,4,100,1,4.0,1
25,2,8,1,1,4,100,1,4.0,1
25,2,9,0,0,4,100,1,4.0,1
25,3,0,1,1,4,100,1,,0
25,3,1,0,0,4,100,1,4.0,1
25,3,2,1,1,4,100,1,4.0,1
25,3,3,0,0,4,100,1,4.0,1
25,3,4,1,1,4,100,1,4.0,1
25,3,5,0,0,4,100,1,4.0,1
25,3,6,1,1,4,100,1,4.0,1
25,3,7,0,0,4,100,1,4.0,1
25,3,8,1,1,4,100,1,4.0,1
25,3,9,0,0,4,100,1,4.0,1
25,4,0,1,1,4,100,1,,0
25,4,1,0,0,4,100,1,4.0,1
25,4,2,1,1,4,100,1,4.0,1
25,4,3,0,0,4,100,1,4.0,1
25,4,4,1,1,4,100,1,4.0,1
25,4,5,0,0,4,100,1,4.0,1
25,4,6,1,1,4,100,1,4.0,1
25,4,7,0,0,4,100,1,4.0,1
25,4,8,1,1,4,100,1,4.0,1
25,4,9,0,0,4,100,1,4.0,1
25,5,0,0,0,4,100,1,,0
25,5,1,1,1,4,100,1,4.0,1
25,5,2,0,0,4,100,1,4.0,1
25,5,3,1,1,4,100,1,4.0,1
25,5,4,0,0,4,100,1,4.0,1
25,5,5,1,1,4,100,1,4.0,1
25,5,6,0,0,4,100,1,4.0,1
25,5,7,1,1,4,100,1,4.0,1
25,5,8,0,0,4,100,1,4.0,1
25,5,9,1,1,4,100,1,4.0,1
25,6,0,0,0,4,100,1,,0
25,6,1,1,1,4,100,1,4.0,1
25,6,2,0,0,4,100,1,4.0,1
25,6,3,1,1,4,100,1,4.0,1
25,6,4,0,0,4,100,1,4.0,1
25,6,5,1,1,4,100,1,4.0,1
25,6,6,0,0,4,100,1,4.0,1
25,6,7,1,1,4,100,1,4.0,1
25,6,8,0,0,4,100,1,4.0,1
25,6,9,1,1,4,100,1,4.0,1
25,7,0,0,0,4,100,1,,0
25,7,1,1,1,4,100,1,4.0,1
25,7,2,0,0,4,100,1,4.0,1
25,7,3,1,1,4,100,1,4.0,1
25,7,4,0,0,4,100,1,4.0,1
25,7,5,1,1,4,100,1,4.0,1
25,7,6,0,0,4,100,1,4.0,1
25,7,7,1,1,4,100,1,4.0,1
25,7,8,0,0,4,100,1,4.0,1
25,7,9,1,1,4,100,1,4.0,1
25,8,0,0,0,4,100,1,,0
25,8,1,1,1,4,100,1,4.0,1
25,8,2,0,0,4,100,1,4.0,1
25,8,3,1,1,4,100,1,4.0,1
25,8,4,0,0,4,100,1,4.0,1
25,8,5,1,1,4,100,1,4.0,1
25,8,6,0,0,4,100,1,4.0,1
25,8,7,1,1,4,100,1,4.0,1
25,8,8,0,0,4,100,1,4.0,1
25,8,9,1,1,4,100,1,4.0,1
25,9,0,0,0,4,100,1,,0
25,9,1,1,1,4,100,1,4.0,1
25,9,2,0,0,4,100,1,4.0,1
25,9,3,1,1,4,100,1,4.0,1
25,9,4,0,0,4,100,1,4.0,1
25,9,5,1,1,4,100,1,4.0,1
25,9,6,0,0,4,100,1,4.0,1
25,9,7,1,1,4,100,1,4.0,1
25,9,8,0,0,4,100,1,4.0,1
25,9,9,1,1,4,100,1,4.0,1
25,10,0,1,1,4,100,1,,0
25,10,1,0,0,4,100,1,4.0,1
25,10,2,1,1,4,100,1,4.0,1
25,10,3,0,0,4,100,1,4.0,1
25,10,4,1,1,4,100,1,4.0,1
25,10,5,0,0,4,100,1,4.0,1
25,10,6,1,1,4,100,1,4.0,1
25,10,7,0,0,4,100,1,4.0,1
25,10,8,1,1,4,100,1,4.0,1
25,10,9,0,0,4,100,1,4.0,1
25,11,0,1,1,4,100,1,,0
25,11,1,0,0,4,100,1,4.0,1
25,11,2,1,1,4,100,1,4.0,1
25,11,3,0,0,4,100,1,4.0,1
25,11,4,1,1,4,100,1,4.0,1
25,11,5,0,0,4,100,1,4.0,1
25,11,6,1,1,4,100,1,4.0,1
25,11,7,0,0,4,100,1,4.0,1
25,11,8,1,1,4,100,1,4.0,1
25,11,9,0,0,4,100,1,4.0,1
25,12,0,1,1,4,100,1,,0
25,12,1,0,0,4,100,1,4.0,1
25,12,2,1,1,4,100,1,4.0,1
25,12,3,0,0,4,100,1,4.0,1
25,12,4,1,1,4,100,1,4.0,1
25,12,5,0,0,4,100,1,4.0,1
25,12,6,1,1,4,100,1,4.0,1
25,12,7,0,0,4,100,1,4.0,1
25,12,8,1,1,4,100,1,4.0,1
25,12,9,0,0,4,100,1,4.0,1
25,13,0,1,1,4,100,1,,0
25,13,1,0,0,4,100,1,4.0,1
25,13,2,1,1,4,100,1,4.0,1
25,13,3,0,0,4,100,1,4.0,1
25,13,4,1,1,4,100,1,4.0,1
25,13,5,0,0,4,100,1,4.0,1
25,13,6,1,1,4,100,1,4.0,1
25,13,7,0,0,4,100,1,4.0,1
25,13,8,1,1,4,100,1,4.0,1
25,13,9,0,0,4,100,1,4.0,1
25,14,0,1,1,4,100,1,,0
25,14,1,0,0,4,100,1,4.0,1
25,14,2,1,1,4,100,1,4.0,1
25,14,3,0,0,4,100,1,4.0,1
25,14,4,1,1,4,100,1,4.0,1
25,14,5,0,0,4,100,1,4.0,1
25,14,6,1,1,4,100,1,4.0,1
25,14,7,0,0,4,100,1,4.0,1
25,14,8,1,1,4,100,1,4.0,1
25,14,9,0,0,4,100,1,4.0,1
25,15,0,0,0,4,100,1,,0
25,15,1,1,1,4,100,1,4.0,1
25,15,2,0,0,4,100,1,4.0,1
25,15,3,1,1,4,100,1,4.0,1
25,15,4,0,0,4,100,1,4.0,1
25,15,5,1,1,4,100,1,4.0,1
25,15,6,0,0,4,100,1,4.0,1
25,15,7,1,1,4,100,1,4.0,1
25,15,8,0,0,4,100,1,4.0,1
25,15,9,1,1,4,100,1,4.0,1
25,16,0,0,0,4,100,1,,0
25,16,1,1,1,4,100,1,4.0,1
25,16,2,0,0,4,100,1,4.0,1
25,16,3,1,1,4,100,1,4.0,1
25,16,4,0,0,4,100,1,4.0,1
25,16,5,1,1,4,100,1,4.0,1
25,16,6,0,0,4,100,1,4.0,1
25,16,7,1,1,4,100,1,4.0,1
25,16,8,0,0,4,100,1,4.0,1
25,16,9,1,1,4,100,1,4.0,1
25,17,0,0,0,4,100,1,,0
25,17,1,1,1,4,100,1,4.0,1
25,17,2,0,0,4,100,1,4.0,1
25,17,3,1,1,4,100,1,4.0,1
25,17,4,0,0,4,100,1,4.0,1
25,17,5,1,1,4,100,1,4.0,1
25,17,6,0,0,4,100,1,4.0,1
25,17,7,1,1,4,100,1,4.0,1
25,17,8,0,0,4,100,1,4.0,1
25,17,9,1,1,4,100,1,4.0,1
25,18,0,0,0,4,100,1,,0
25,18,1,1,1,4,100,1,4.0,1
25,18,2,0,0,4,100,1,4.0,1
25,18,3,1,1,4,100,1,4.0,1
25,18,4,0,0,4,100,1,4.0,1
25,18,5,1,1,4,100,1,4.0,1
25,18,6,0,0,4,100,1,4.0,1
25,18,7,1,1,4,100,1,4.0,1
25,18,8,0,0,4,100,1,4.0,1
25,18,9,1,1,4,100,1,4.0,1
25,19,0,0,0,4,100,1,,0
25,19,1,1,1,4,100,1,4.0,1
25,19,2,0,0,4,100,1,4.0,1
25,19,3,1,1,4,100,1,4.0,1
25,19,4,0,0,4,100,1,4.0,1
25,19,5,1,1,4,100,1,4.0,1
25,19,6,0,0,4,100,1,4.0,1
25,19,7,1,1,4,100,1,4.0,1
25,19,8,0,0,4,100,1,4.0,1
25,19,9,1,1,4,100,1,4.0,1
25,20,0,1,1,4,100,1,,0
25,20,1,0,0,4,100,1,4.0,1
25,20,2,1,1,4,100,1,4.0,1
25,20,3,0,0,4,100,1,4.0,1
25,20,4,1,1,4,100,1,4.0,1
25,20,5,0,0,4,100,1,4.0,1
25,20,6,1,1,4,100,1,4.0,1
25,20,7,0,0,4,100,1,4.0,1
25,20,8,1,1,4,100,1,4.0,1
25,20,9,0,0,4,100,1,4.0,1
25,21,0,1,1,4,100,1,,0
25,21,1,0,0,4,100,1,4.0,1
25,21,2,1,1,4,100,1,4.0,1
25,21,3,0,0,4,100,1,4.0,1
25,21,4,1,1,4,100,1,4.0,1
25,21,5,0,0,4,100,1,4.0,1
25,21,6,1,1,4,100,1,4.0,1
25,21,7,0,0,4,100,1,4.0,1
25,21,8,1,1,4,100,1,4.0,1
25,21,9,0,0,4,100,1,4.0,1
25,22,0,1,1,4,100,1,,0
25,22,1,0,0,4,100,1,4.0,1
25,22,2,1,1,4,100,1,4.0,1
25,22,3,0,0,4,100,1,4.0,1
25,22,4,1,1,4,100,1,4.0,1
25,22,5,0,0,4,100,1,4.0,1
25,22,6,1,1,4,100,1,4.0,1
25,22,7,0,0,4,100,1,4.0,1
25,22,8,1,1,4,100,1,4.0,1
25,22,9,0,0,4,100,1,4.0,1
25,23,0,1,1,4,100,1,,0
25,23,1,0,0,4,100,1,4.0,1
25,23,2,1,1,4,100,1,4.0,1
25,23,3,0,0,4,100,1,4.0,1
25,23,4,1,1,4,100,1,4.0,1
25,23,5,0,0,4,100,1,4.0,1
25,23,6,1,1,4,100,1,4.0,1
25,23,7,0,0,4,100,1,4.0,1
25,23,8,1,1,4,100,1,4.0,1
25,23,9,0,0,4,100,1,4.0,1
25,24,0,1,1,4,100,1,,0
25,24,1,0,0,4,100,1,4.0,1
25,24,2,1,1,4,100,1,4.0,1
25,24,3,0,0,4,100,1,4.0,1
25,24,4,1,1,4,100,1,4.0,1
25,24,5,0,0,4,100,1,4.0,1
25,24,6,1,1,4,100,1,4.0,1
25,24,7,0,0,4,100,1,4.0,1
25,24,8,1,1,4,100,1,4.0,1
25,24,9,0,0,4,100,1,4.0,1
25,25,0,0,0,4,100,1,,0
25,25,1,1,1,4,100,1,4.0,1
25,25,2,0,0,4,100,1,4.0,1
25,25,3,1,1,4,100,1,4.0,1
25,25,4,0,0,4,100,1,4.0,1
25,25,5,1,1,4,100,1,4.0,1
25,25,6,0,0,4,100,1,4.0,1
25,25,7,1,1,4,100,1,4.0,1
25,25,8,0,0,4,100,1,4.0,1
25,25,9,1,1,4,100,1,4.0,1
25,26,0,0,0,4,100,1,,0
25,26,1,1,1,4,100,1,4.0,1
25,26,2,0,0,4,100,1,4.0,1
25,26,3,1,1,4,100,1,4.0,1
25,26,4,0,0,4,100,1,4.0,1
25,26,5,1,1,4,100,1,4.0,1
25,26,6,0,0,4,100,1,4.0,1
25,26,7,1,1,4,100,1,4.0,1
25,26,8,0,0,4,100,1,4.0,1
25,26,9,1,1,4,100,1,4.0,1
25,27,0,0,0,4,100,1,,0
25,27,1,1,1,4,100,1,4.0,1
25,27,2,0,0,4,100,1,4.0,1
25,27,3,1,1,4,100,1,4.0,1
25,27,4,0,0,4,100,1,4.0,1
25,27,5,1,1,4,100,1,4.0,1
25,27,6,0,0,4,100,1,4.0,1
25,27,7,1,1,4,100,1,4.0,1
25,27,8,0,0,4,100,1,4.0,1
25,27,9,1,1,4,100,1,4.0,1
25,28,0,0,0,4,100,1,,0
25,28,1,1,1,4,100,1,4.0,1
25,28,2,0,0,4,100,1,4.0,1
25,28,3,1,1,4,100,1,4.0,1
25,28,4,0,0,4,100,1,4.0,1
25,28,5,1,1,4,100,1,4.0,1
25,28,6,0,0,4,100,1,4.0,1
25,28,7,1,1,4,100,1,4.0,1
25,28,8,0,0,4,100,1,4.0,1
25,28,9,1,1,4,100,1,4.0,1
25,29,0,0,0,4,100,1,,0
25,29,1,1,1,4,100,1,4.0,1
25,29,2,0,0,4,100,1,4.0,1
25,29,3,1,1,4,100,1,4.0,1
25,29,4,0,0,4,100,1,4.0,1
25,29,5,1,1,4,100,1,4.0,1
25,29,6,0,0,4,100,1,4.0,1
25,29,7,1,1,4,100,1,4.0,1
25,29,8,0,0,4,100,1,4.0,1
25,29,9,1,1,4,100,1,4.0,1
25,30,0,1,1,4,100,1,,0
25,30,1,0,0,4,100,1,4.0,1
25,30,2,1,1,4,100,1,4.0,1
25,30,3,0,0,4,100,1,4.0,1
25,30,4,1,1,4,100,1,4.0,1
25,30,5,0,0,4,100,1,4.0,1
25,30,6,1,1,4,100,1,4.0,1
25,30,7,0,0,4,100,1,4.0,1
25,30,8,1,1,4,100,1,4.0,1
25,30,9,0,0,4,100,1,4.0,1
25,31,0,1,1,4,100,1,,0
25,31,1,0,0,4,100,1,4.0,1
