Identificador,Agente,Ronda,Estado,Puntaje,Politica,Parametro-0,Parametro-1,Politica_lag,Consistencia
28,3,8,0,0,1,10,1,1.0,1
28,3,9,0,0,1,10,1,1.0,1
28,4,0,1,1,7,10,1,,0
28,4,1,1,-1,0,10,1,7.0,0
28,4,2,0,0,0,10,1,0.0,1
28,4,3,0,0,0,10,1,0.0,1
28,4,4,0,0,0,10,1,0.0,1
28,4,5,0,0,0,10,1,0.0,1
28,4,6,0,0,0,10,1,0.0,1
28,4,7,0,0,0,10,1,0.0,1
28,4,8,0,0,0,10,1,0.0,1
28,4,9,0,0,0,10,1,0.0,1
28,5,0,0,0,5,10,1,,0
28,5,1,1,-1,0,10,1,5.0,0
28,5,2,0,0,0,10,1,0.0,1
28,5,3,0,0,0,10,1,0.0,1
28,5,4,0,0,0,10,1,0.0,1
28,5,5,0,0,0,10,1,0.0,1
28,5,6,0,0,0,10,1,0.0,1
28,5,7,0,0,0,10,1,0.0,1
28,5,8,0,0,0,10,1,0.0,1
28,5,9,0,0,0,10,1,0.0,1
28,6,0,1,1,1,10,1,,0
28,6,1,0,0,1,10,1,1.0,1
28,6,2,0,0,1,10,1,1.0,1
28,6,3,0,0,1,10,1,1.0,1
28,6,4,0,0,1,10,1,1.0,1
28,6,5,0,0,1,10,1,1.0,1
28,6,6,0,0,1,10,1,1.0,1
28,6,7,0,0,1,10,1,1.0,1
28,6,8,0,0,1,10,1,1.0,1
28,6,9,0,0,1,10,1,1.0,1
28,7,0,0,0,6,10,1,,0
28,7,1,1,-1,0,10,1,6.0,0
28,7,2,0,0,0,10,1,0.0,1
28,7,3,0,0,0,10,1,0.0,1
28,7,4,0,0,0,10,1,0.0,1
28,7,5,0,0,0,10,1,0.0,1
28,7,6,0,0,0,10,1,0.0,1
28,7,7,0,0,0,10,1,0.0,1
28,7,8,0,0,0,10,1,0.0,1
28,7,9,0,0,0,10,1,0.0,1
28,8,0,1,1,2,10,1,,0
28,8,1,1,-1,0,10,1,2.0,0
28,8,2,0,0,0,10,1,0.0,1
28,8,3,0,0,0,10,1,0.0,1
28,8,4,0,0,0,10,1,0.0,1
28,8,5,0,0,0,10,1,0.0,1
28,8,6,0,0,0,10,1,0.0,1
28,8,7,0,0,0,10,1,0.0,1
28,8,8,0,0,0,10,1,0.0,1
28,8,9,0,0,0,10,1,0.0,1
28,9,0,0,0,7,10,1,,0
28,9,1,1,-1,0,10,1,7.0,0
28,9,2,0,0,0,10,1,0.0,1
28,9,3,0,0,0,10,1,0.0,1
28,9,4,0,0,0,10,1,0.0,1
28,9,5,0,0,0,10,1,0.0,1
28,9,6,0,0,0,10,1,0.0,1
28,9,7,0,0,0,10,1,0.0,1
28,9,8,0,0,0,10,1,0.0,1
28,9,9,0,0,0,10,1,0.0,1
