Identificador,Agente,Ronda,Estado,Puntaje,Politica,Parametro-0,Parametro-1,Politica_lag,Consistencia
18,0,0,1,-1,7,2,1,,0
18,0,1,1,-1,7,2,1,7.0,1
18,0,2,1,-1,7,2,1,7.0,1
18,0,3,1,-1,7,2,1,7.0,1
18,0,4,1,-1,7,2,1,7.0,1
18,0,5,1,-1,7,2,1,7.0,1
18,0,6,1,-1,7,2,1,7.0,1
18,0,7,1,-1,7,2,1,7.0,1
18,0,8,1,-1,7,2,1,7.0,1
18,0,9,1,-1,7,2,1,7.0,1
18,1,0,1,-1,7,2,1,,0
18,1,1,1,-1,7,2,1,7.0,1
18,1,2,1,-1,7,2,1,7.0,1
18,1,3,1,-1,7,2,1,7.0,1
18,1,4,1,-1,7,2,1,7.0,1
18,1,5,1,-1,7,2,1,7.0,1
18,1,6,1,-1,7,2,1,7.0,1
18,1,7,1,-1,7,2,1,7.0,1
18,1,8,1,-1,7,2,1,7.0,1
18,1,9,1,-1,7,2,1,7.0,1
