Identificador,Agente,Ronda,Estado,Puntaje,Politica,Parametro-0,Parametro-1,Politica_lag,Consistencia
21,0,0,1,-1,7,100,1,,0
21,0,1,1,-1,7,100,1,7.0,1
21,0,2,1,-1,7,100,1,7.0,1
21,0,3,1,-1,7,100,1,7.0,1
21,0,4,1,-1,7,100,1,7.0,1
21,0,5,1,-1,7,100,1,7.0,1
21,0,6,1,-1,7,100,1,7.0,1
21,0,7,1,-1,7,100,1,7.0,1
21,0,8,1,-1,7,100,1,7.0,1
21,0,9,1,-1,7,100,1,7.0,1
21,1,0,1,-1,7,100,1,,0
21,1,1,1,-1,7,100,1,7.0,1
21,1,2,1,-1,7,100,1,7.0,1
21,1,3,1,-1,7,100,1,7.0,1
21,1,4,1,-1,7,100,1,7.0,1
21,1,5,1,-1,7,100,1,7.0,1
21,1,6,1,-1,7,100,1,7.0,1
21,1,7,1,-1,7,100,1,7.0,1
21,1,8,1,-1,7,100,1,7.0,1
21,1,9,1,-1,7,100,1,7.0,1
21,2,0,1,-1,7,100,1,,0
21,2,1,1,-1,7,100,1,7.0,1
21,2,2,1,-1,7,100,1,7.0,1
21,2,3,1,-1,7,100,1,7.0,1
21,2,4,1,-1,7,100,1,7.0,1
21,2,5,1,-1,7,100,1,7.0,1
21,2,6,1,-1,7,100,1,7.0,1
21,2,7,1,-1,7,100,1,7.0,1
21,2,8,1,-1,7,100,1,7.0,1
21,2,9,1,-1,7,100,1,7.0,1
21,3,0,1,-1,7,100,1,,0
21,3,1,1,-1,7,100,1,7.0,1
21,3,2,1,-1,7,100,1,7.0,1
21,3,3,1,-1,7,100,1,7.0,1
21,3,4,1,-1,7,100,1,7.0,1
21,3,5,1,-1,7,100,1,7.0,1
21,3,6,1,-1,7,100,1,7.0,1
21,3,7,1,-1,7,100,1,7.0,1
21,3,8,1,-1,7,100,1,7.0,1
21,3,9,1,-1,7,100,1,7.0,1
21,4,0,1,-1,7,100,1,,0
21,4,1,1,-1,7,100,1,7.0,1
21,4,2,1,-1,7,100,1,7.0,1
21,4,3,1,-1,7,100,1,7.0,1
21,4,4,1,-1,7,100,1,7.0,1
21,4,5,1,-1,7,100,1,7.0,1
21,4,6,1,-1,7,100,1,7.0,1
21,4,7,1,-1,7,100,1,7.0,1
21,4,8,1,-1,7,100,1,7.0,1
21,4,9,1,-1,7,100,1,7.0,1
21,5,0,1,-1,7,100,1,,0
21,5,1,1,-1,7,100,1,7.0,1
21,5,2,1,-1,7,100,1,7.0,1
21,5,3,1,-1,7,100,1,7.0,1
21,5,4,1,-1,7,100,1,7.0,1
21,5,5,1,-1,7,100,1,7.0,1
21,5,6,1,-1,7,100,1,7.0,1
21,5,7,1,-1,7,100,1,7.0,1
21,5,8,1,-1,7,100,1,7.0,1
21,5,9,1,-1,7,100,1,7.0,1
21,6,0,1,-1,7,100,1,,0
21,6,1,1,-1,7,100,1,7.0,1
21,6,2,1,-1,7,100,1,7.0,1
21,6,3,1,-1,7,100,1,7.0,1
21,6,4,1,-1,7,100,1,7.0,1
21,6,5,1,-1,7,100,1,7.0,1
21,6,6,1,-1,7,100,1,7.0,1
21,6,7,1,-1,7,100,1,7.0,1
21,6,8,1,-1,7,100,1,7.0,1
21,6,9,1,-1,7,100,1,7.0,1
21,7,0,1,-1,7,100,1,,0
21,7,1,1,-1,7,100,1,7.0,1
21,7,2,1,-1,7,100,1,7.0,1
21,7,3,1,-1,7,100,1,7.0,1
21,7,4,1,-1,7,100,1,7.0,1
21,7,5,1,-1,7,100,1,7.0,1
21,7,6,1,-1,7,100,1,7.0,1
21,7,7,1,-1,7,100,1,7.0,1
21,7,8,1,-1,7,100,1,7.0,1
21,7,9,1,-1,7,100,1,7.0,1
21,8,0,1,-1,7,100,1,,0
21,8,1,1,-1,7,100,1,7.0,1
21,8,2,1,-1,7,100,1,7.0,1
21,8,3,1,-1,7,100,1,7.0,1
21,8,4,1,-1,7,100,1,7.0,1
21,8,5,1,-1,7,100,1,7.0,1
21,8,6,1,-1,7,100,1,7.0,1
21,8,7,1,-1,7,100,1,7.0,1
21,8,8,1,-1,7,100,1,7.0,1
21,8,9,1,-1,7,100,1,7.0,1
21,9,0,1,-1,7,100,1,,0
21,9,1,1,-1,7,100,1,7.0,1
21,9,2,1,-1,7,100,1,7.0,1
21,9,3,1,-1,7,100,1,7.0,1
21,9,4,1,-1,7,100,1,7.0,1
21,9,5,1,-1,7,100,1,7.0,1
21,9,6,1,-1,7,100,1,7.0,1
21,9,7,1,-1,7,100,1,7.0,1
21,9,8,1,-1,7,100,1,7.0,1
21,9,9,1,-1,7,100,1,7.0,1
21,10,0,1,-1,7,100,1,,0
21,10,1,1,-1,7,100,1,7.0,1
21,10,2,1,-1,7,100,1,7.0,1
21,10,3,1,-1,7,100,1,7.0,1
21,10,4,1,-1,7,100,1,7.0,1
21,10,5,1,-1,7,100,1,7.0,1
21,10,6,1,-1,7,100,1,7.0,1
21,10,7,1,-1,7,100,1,7.0,1
21,10,8,1,-1,7,100,1,7.0,1
21,10,9,1,-1,7,100,1,7.0,1
21,11,0,1,-1,7,100,1,,0
21,11,1,1,-1,7,100,1,7.0,1
21,11,2,1,-1,7,100,1,7.0,1
21,11,3,1,-1,7,100,1,7.0,1
21,11,4,1,-1,7,100,1,7.0,1
21,11,5,1,-1,7,100,1,7.0,1
21,11,6,1,-1,7,100,1,7.0,1
21,11,7,1,-1,7,100,1,7.0,1
21,11,8,1,-1,7,100,1,7.0,1
21,11,9,1,-1,7,100,1,7.0,1
21,12,0,1,-1,7,100,1,,0
21,12,1,1,-1,7,100,1,7.0,1
21,12,2,1,-1,7,100,1,7.0,1
21,12,3,1,-1,7,100,1,7.0,1
21,12,4,1,-1,7,100,1,7.0,1
21,12,5,1,-1,7,100,1,7.0,1
21,12,6,1,-1,7,100,1,7.0,1
21,12,7,1,-1,7,100,1,7.0,1
21,12,8,1,-1,7,100,1,7.0,1
21,12,9,1,-1,7,100,1,7.0,1
21,13,0,1,-1,7,100,1,,0
21,13,1,1,-1,7,100,1,7.0,1
21,13,2,1,-1,7,100,1,7.0,1
21,13,3,1,-1,7,100,1,7.0,1
21,13,4,1,-1,7,100,1,7.0,1
21,13,5,1,-1,7,100,1,7.0,1
21,13,6,1,-1,7,100,1,7.0,1
21,13,7,1,-1,7,100,1,7.0,1
21,13,8,1,-1,7,100,1,7.0,1
21,13,9,1,-1,7,100,1,7.0,1
21,14,0,1,-1,7,100,1,,0
21,14,1,1,-1,7,100,1,7.0,1
21,14,2,1,-1,7,100,1,7.0,1
21,14,3,1,-1,7,100,1,7.0,1
21,14,4,1,-1,7,100,1,7.0,1
21,14,5,1,-1,7,100,1,7.0,1
21,14,6,1,-1,7,100,1,7.0,1
21,14,7,1,-1,7,100,1,7.0,1
21,14,8,1,-1,7,100,1,7.0,1
21,14,9,1,-1,7,100,1,7.0,1
21,15,0,1,-1,7,100,1,,0
21,15,1,1,-1,7,100,1,7.0,1
21,15,2,1,-1,7,100,1,7.0,1
21,15,3,1,-1,7,100,1,7.0,1
21,15,4,1,-1,7,100,1,7.0,1
21,15,5,1,-1,7,100,1,7.0,1
21,15,6,1,-1,7,100,1,7.0,1
21,15,7,1,-1,7,100,1,7.0,1
21,15,8,1,-1,7,100,1,7.0,1
21,15,9,1,-1,7,100,1,7.0,1
21,16,0,1,-1,7,100,1,,0
21,16,1,1,-1,7,100,1,7.0,1
21,16,2,1,-1,7,100,1,7.0,1
21,16,3,1,-1,7,100,1,7.0,1
