Identificador,Agente,Ronda,Estado,Puntaje,Politica,Parametro-0,Parametro-1,Politica_lag,Consistencia
26,0,0,0,0,3,5,1,,0
26,0,1,0,0,1,5,1,3.0,0
26,0,2,0,0,1,5,1,1.0,1
26,0,3,0,0,1,5,1,1.0,1
26,0,4,0,0,1,5,1,1.0,1
26,0,5,0,0,1,5,1,1.0,1
26,0,6,0,0,1,5,1,1.0,1
26,0,7,0,0,1,5,1,1.0,1
26,0,8,0,0,1,5,1,1.0,1
26,0,9,0,0,1,5,1,1.0,1
26,1,0,1,-1,0,5,1,,0
26,1,1,0,0,1,5,1,0.0,0
26,1,2,0,0,1,5,1,1.0,1
26,1,3,0,0,1,5,1,1.0,1
26,1,4,0,0,1,5,1,1.0,1
26,1,5,0,0,1,5,1,1.0,1
26,1,6,0,0,1,5,1,1.0,1
26,1,7,0,0,1,5,1,1.0,1
26,1,8,0,0,1,5,1,1.0,1
26,1,9,0,0,1,5,1,1.0,1
26,2,0,1,-1,1,5,1,,0
26,2,1,1,1,1,5,1,1.0,1
26,2,2,0,0,1,5,1,1.0,1
26,2,3,0,0,1,5,1,1.0,1
26,2,4,0,0,1,5,1,1.0,1
26,2,5,0,0,1,5,1,1.0,1
26,2,6,0,0,1,5,1,1.0,1
26,2,7,0,0,1,5,1,1.0,1
26,2,8,0,0,1,5,1,1.0,1
26,2,9,0,0,1,5,1,1.0,1
26,3,0,1,-1,6,5,1,,0
26,3,1,0,0,1,5,1,6.0,0
26,3,2,0,0,1,5,1,1.0,1
26,3,3,0,0,1,5,1,1.0,1
26,3,4,0,0,1,5,1,1.0,1
26,3,5,0,0,1,5,1,1.0,1
26,3,6,0,0,1,5,1,1.0,1
26,3,7,0,0,1,5,1,1.0,1
26,3,8,0,0,1,5,1,1.0,1
26,3,9,0,0,1,5,1,1.0,1
26,4,0,1,-1,2,5,1,,0
26,4,1,0,0,1,5,1,2.0,0
26,4,2,0,0,1,5,1,1.0,1
26,4,3,0,0,1,5,1,1.0,1
26,4,4,0,0,1,5,1,1.0,1
26,4,5,0,0,1,5,1,1.0,1
26,4,6,0,0,1,5,1,1.0,1
26,4,7,0,0,1,5,1,1.0,1
26,4,8,0,0,1,5,1,1.0,1
26,4,9,0,0,1,5,1,1.0,1
