group,round,player,choice,score
2,49,jugador3b,0,0
2,49,jugador5a,1,1
2,49,jugador5b,1,1
2,50,jugador3b,0,0
2,50,jugador5a,1,1
2,50,jugador5b,1,1
2,50,jugador4b,1,1
3,1,jugador1d,1,1
3,1,jugador5d,0,0
3,1,jugador4d,0,0
3,1,jugador3d,1,1
3,1,jugador2d,1,1
3,2,jugador3d,0,0
3,2,jugador1d,1,1
3,2,jugador5d,1,1
3,2,jugador2d,0,0
3,2,jugador4d,1,1
3,3,jugador3d,1,1
3,3,jugador5d,0,0
3,3,jugador1d,0,0
3,3,jugador4d,1,1
3,3,jugador2d,0,0
3,4,jugador3d,0,0
3,4,jugador2d,1,1
3,4,jugador5d,1,1
3,4,jugador1d,0,0
3,4,jugador4d,0,0
3,5,jugador5d,0,0
3,5,jugador1d,1,-1
3,5,jugador2d,1,-1
3,5,jugador3d,1,-1
3,5,jugador4d,1,-1
3,6,jugador4d,1,-1
3,6,jugador1d,1,-1
3,6,jugador2d,1,-1
3,6,jugador5d,0,0
3,6,jugador3d,1,-1
3,7,jugador3d,1,-1
3,7,jugador1d,1,-1
3,7,jugador4d,1,-1
3,7,jugador2d,1,-1
3,7,jugador5d,0,0
3,8,jugador3d,1,-1
3,8,jugador1d,1,-1
3,8,jugador2d,1,-1
3,8,jugador4d,1,-1
3,8,jugador5d,0,0
3,9,jugador1d,0,0
3,9,jugador3d,1,1
3,9,jugador2d,1,1
3,9,jugador5d,1,1
3,9,jugador4d,0,0
3,10,jugador1d,0,0
3,10,jugador3d,0,0
3,10,jugador2d,0,0
3,10,jugador5d,0,0
3,10,jugador4d,0,0
3,11,jugador1d,1,-1
3,11,jugador3d,0,0
3,11,jugador2d,1,-1
3,11,jugador5d,1,-1
3,11,jugador4d,1,-1
3,12,jugador3d,0,0
3,12,jugador1d,0,0
3,12,jugador2d,1,1
3,12,jugador5d,0,0
3,12,jugador4d,1,1
3,13,jugador3d,1,1
3,13,jugador5d,1,1
3,13,jugador1d,1,1
3,13,jugador2d,0,0
3,13,jugador4d,0,0
3,14,jugador3d,0,0
3,14,jugador4d,1,1
3,14,jugador5d,0,0
3,14,jugador2d,1,1
3,14,jugador1d,1,1
3,15,jugador3d,1,1
3,15,jugador5d,1,1
3,15,jugador2d,1,1
3,15,jugador1d,0,0
3,15,jugador4d,0,0
3,16,jugador3d,1,1
3,16,jugador4d,1,1
3,16,jugador5d,0,0
3,16,jugador2d,0,0
3,16,jugador1d,1,1
3,17,jugador3d,0,0
3,17,jugador5d,1,1
3,17,jugador2d,1,1
3,17,jugador1d,1,1
3,17,jugador4d,0,0
3,18,jugador5d,0,0
3,18,jugador3d,0,0
3,18,jugador4d,1,1
3,18,jugador2d,1,1
3,18,jugador1d,0,0
3,19,jugador3d,1,1
3,19,jugador2d,0,0
3,19,jugador4d,0,0
3,19,jugador5d,1,1
3,19,jugador1d,1,1
3,20,jugador4d,1,1
3,20,jugador3d,0,0
3,20,jugador2d,1,1
3,20,jugador1d,1,1
3,20,jugador5d,0,0
3,21,jugador5d,1,1
3,21,jugador2d,1,1
3,21,jugador1d,0,0
3,21,jugador4d,0,0
3,21,jugador3d,1,1
3,22,jugador3d,1,1
3,22,jugador5d,0,0
3,22,jugador1d,1,1
3,22,jugador2d,0,0
3,22,jugador4d,1,1
3,23,jugador5d,1,1
3,23,jugador2d,1,1
3,23,jugador1d,0,0
3,23,jugador3d,0,0
3,23,jugador4d,0,0
3,24,jugador5d,0,0
3,24,jugador2d,1,-1
3,24,jugador3d,1,-1
3,24,jugador1d,1,-1
3,24,jugador4d,1,-1
3,25,jugador1d,1,1
3,25,jugador2d,1,1
3,25,jugador5d,0,0
3,25,jugador4d,0,0
3,25,jugador3d,1,1
3,26,jugador5d,1,1
3,26,jugador1d,0,0
3,26,jugador3d,0,0
3,26,jugador2d,1,1
3,26,jugador4d,1,1
3,27,jugador5d,0,0
3,27,jugador1d,0,0
3,27,jugador2d,1,1
3,27,jugador3d,1,1
3,27,jugador4d,0,0
3,28,jugador5d,1,1
3,28,jugador4d,1,1
3,28,jugador3d,0,0
3,28,jugador1d,1,1
3,28,jugador2d,0,0
3,29,jugador5d,0,0
3,29,jugador3d,1,1
3,29,jugador1d,0,0
3,29,jugador2d,1,1
3,29,jugador4d,0,0
3,30,jugador2d,1,-1
3,30,jugador3d,0,0
3,30,jugador1d,1,-1
3,30,jugador5d,1,-1
3,30,jugador4d,1,-1
3,31,jugador1d,0,0
3,31,jugador3d,1,1
3,31,jugador5d,0,0
3,31,jugador2d,1,1
3,31,jugador4d,0,0
3,32,jugador5d,1,1
3,32,jugador2d,0,0
3,32,jugador3d,0,0
3,32,jugador4d,1,1
3,32,jugador1d,1,1
3,33,jugador3d,1,1
3,33,jugador2d,1,1
3,33,jugador1d,0,0
3,33,jugador5d,0,0
3,33,jugador4d,0,0
3,34,jugador3d,1,-1
